address,lendedUsd,nbOfLiquidations,usdLostToLiquidations
0x03c2…336d,179.000757,0,0
0x03cc…a257,10737.186114739463,0,0
0x03ce…3409,45513.754642145694,0,0
0x03ec…0414,106.26606708606431,0,0
0x03f4…2d54,224838.4847008016,0,0
0x0400…63cf,35675.68235591281,0,0
0x0408…766c,48615.69518006045,2,3440.324829446569
0x0409…0621,1128.8136330720893,4,556.502471407488
0x0414…102e,165.0978543283883,0,0
0x0416…94c4,2201.848153032227,4,775.316036507259
0x041b…e57a,639.9046553068762,7,2894.9529697434637
0x0423…b291,396.234850388132,0,0
0x0427…023a,12383.118993161666,0,0
0x042b…9276,195359.4970952647,0,0
0x042f…d356,19668.801059453315,5,16768.7210200329
0x0443…8cef,1036.5975207944446,0,0
0x0457…0c65,21213.41299288886,1,921.578883149814
0x045b…5116,23000.78862227026,0,0
0x045e…4f3c,4137.7331332405065,0,0
0x0460…175f,47601.1568599391,0,0
0x0467…a970,19357.005524795473,0,0
0x0470…5864,59453.44703348813,0,0
0x0489…5d54,15444.517951959224,1,453.48268304514
0x049b…cb96,1068.1833137783667,0,0
0x04a3…386d,31820.767377747256,0,0
0x04b3…3b73,1650978.5432838832,0,0
0x04b7…1095,4791.154962998035,0,0
0x04bc…9a67,1094.4784561646547,0,0
0x04c2…c76c,28892.124507467954,0,0
0x04c8…1662,11700.012042924127,4,4135.367851344189
0x04cd…ddeb,1030.02560835788,0,0
0x04dc…51e5,8213.13028,0,0
0x04ec…734b,593.5546083069952,0,0
0x04f0…7dec,3202.8983739707332,0,0
0x0503…96a7,100.45408029679841,0,0
0x050e…f1b3,105742.50773309398,0,0
0x051d…0b27,15798848.58290044,0,0
0x0525…458d,13545.026593217868,5,9983.7148810875
0x0529…f632,75058.92874225642,0,0
0x052f…f870,238.40762999999998,0,0
0x0539…1564,314.0071003673347,0,0
0x054b…026c,3204.0028849377304,3,752.6227756557486
0x054f…daca,467.5380130378968,0,0
0x0554…76b2,4204.308978065003,0,0
0x0556…bc58,93805.60335005577,1,1770.2476768438235
0x0556…c4c5,10281.495424499022,0,0
0x055b…607f,10054.863354809739,1,318.7932285110977
0x055e…5e8a,911.1621070782516,1,21.2981634075
0x0564…3338,90599.10887946152,0,0
0x056b…7e42,300.2635102516311,6,481.8963284100001
0x059c…3656,134188.45331488768,0,0
0x05a0…a7fe,3185.0570618221013,8,4177.258770447055
0x05a1…079f,203.86525027497333,0,0
0x05bc…bdda,3138.5800567740366,1,58.058980211649114
0x05bd…fd90,1205.3855200521625,7,316.35974241061183
0x05c3…465f,996.1286455636546,1,25.05332025
0x05c7…70ad,4808.1279916684225,0,0
0x05d1…0b85,2449.7219625246257,0,0
0x05d4…bd1e,190.9899858101591,0,0
0x05da…1c44,20513.694400950997,5,2078.725870745935
0x05e0…51fb,27915.358385384854,0,0
0x05e2…c0c4,57849.55691319793,0,0
